Action*,ID,Name*,Description,Contract ID,Contract Number,UOM ID**,UOM code**,List Price,List Price Currency ID,List Price Currency Code,Source Part Num,Lead Time,Image URL
Add,KGP00295,"Scaffold, Tower, Narrow Width, Alloy, 02.20 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 02.20 m x 01.80 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00296,"Scaffold, Tower, Narrow Width, Alloy, 02.20 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 02.20 m x 02.50 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00297,"Scaffold, Tower, Narrow Width, Alloy, 02.70 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 02.70 m x 01.80 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00298,"Scaffold, Tower, Narrow Width, Alloy, 02.70 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 02.70 m x 02.50 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00299,"Scaffold, Tower, Narrow Width, Alloy, 03.20 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 03.20 m x 01.80 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00300,"Scaffold, Tower, Narrow Width, Alloy, 03.20 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 03.20 m x 02.50 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00301,"Scaffold, Tower, Narrow Width, Alloy, 03.70 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 03.70 m x 01.80 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00302,"Scaffold, Tower, Narrow Width, Alloy, 03.70 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 03.70 m x 02.50 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00303,"Scaffold, Tower, Narrow Width, Alloy, 04.20 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 04.20 m x 01.80 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00304,"Scaffold, Tower, Narrow Width, Alloy, 04.20 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 04.20 m x 02.50 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00305,"Scaffold, Tower, Narrow Width, Alloy, 04.70 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 04.70 m x 01.80 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00306,"Scaffold, Tower, Narrow Width, Alloy, 04.70 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 04.70 m x 02.50 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00307,"Scaffold, Tower, Narrow Width, Alloy, 05.20 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 05.20 m x 01.80 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00308,"Scaffold, Tower, Narrow Width, Alloy, 05.20 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 05.20 m x 02.50 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00309,"Scaffold, Tower, Narrow Width, Alloy, 05.70 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 05.70 m x 01.80 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00310,"Scaffold, Tower, Narrow Width, Alloy, 05.70 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 05.70 m x 02.50 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00311,"Scaffold, Tower, Narrow Width, Alloy, 06.20 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 06.20 m x 01.80 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00312,"Scaffold, Tower, Narrow Width, Alloy, 06.20 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 06.20 m x 02.50 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00313,"Scaffold, Tower, Narrow Width, Alloy, 06.70 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 06.70 m x 01.80 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00314,"Scaffold, Tower, Narrow Width, Alloy, 06.70 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 06.70 m x 02.50 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00315,"Scaffold, Tower, Narrow Width, Alloy, 07.20 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 07.20 m x 01.80 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00316,"Scaffold, Tower, Narrow Width, Alloy, 07.20 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 07.20 m x 02.50 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00317,"Scaffold, Tower, Narrow Width, Alloy, 07.70 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 07.70 m x 01.80 m",1,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
